GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0005740	mitochondrial envelope	19	189	10.05%	449	6430	6.98%	YBR150C, YBR238C, YBR262C, YBR291C, YDR377W, YER154W, YGR222W, YIL134W, YJR104C, YKR042W, YLR190W, YML054C, YMR194C-B, YNL328C, YNR020C, YOL026C, YOR065W, YOR147W, YPR140W
GO:0005783	endoplasmic reticulum	18	189	9.52%	684	6430	10.64%	YBR005W, YDL232W, YGL167C, YIL123W, YJL079C, YJL158C, YKR013W, YLR034C, YLR084C, YLR286C, YLR414C, YMR008C, YMR052W, YMR305C, YNL188W, YOL065C, YOL084W, YPL076W
GO:0005856	cytoskeleton	9	189	4.76%	218	6430	3.39%	YBR233W-A, YDR320C-A, YDR389W, YEL061C, YGR059W, YJL019W, YKL101W, YNL188W, YPL269W
GO:0005730	nucleolus	7	189	3.70%	347	6430	5.40%	YDR449C, YER035W, YGL029W, YLR318W, YLR438C-A, YNL075W, YNL147W
GO:0005694	chromosome	7	189	3.70%	224	6430	3.48%	YBR233W-A, YDR320C-A, YHL022C, YJL019W, YJL194W, YLR318W, YMR133W
GO:0005938	cell cortex	7	189	3.70%	169	6430	2.63%	YDL222C, YDR389W, YGR059W, YKL101W, YLR414C, YOR371C, YPL269W
GO:0005794	Golgi apparatus	5	189	2.65%	293	6430	4.56%	YDR084C, YGL167C, YKL006C-A, YMR052W, YPL246C
GO:0005840	ribosome	2	189	1.06%	241	6430	3.75%	YDR077W, YNL306W
GO:0005777	peroxisome	2	189	1.06%	91	6430	1.42%	YGR077C, YOR180C
GO:0031410	cytoplasmic vesicle	2	189	1.06%	136	6430	2.12%	YBR105C, YPL246C
